DateTime,Item_A,Item_B,Frequancy
2016-12-18,Coffee,"Hot chocolate",8
2016-12-20,Coffee,Pastry,8
2016-12-24,Coffee,"Hot chocolate",8
2016-12-24,Coffee,Tea,8
2016-12-29,Bread,Cake,8
2017-03-01,Cake,Coffee,8
2017-06-01,Bread,Coffee,8
2017-01-20,Bread,Coffee,8
2017-01-22,Coffee,Sandwich,8
2017-01-28,Coffee,Pastry,8
2017-04-02,Brownie,Coffee,8
2017-05-02,Coffee,Scone,8
2017-09-02,Bread,Soup,8
2017-02-13,Bread,Coffee,8
2017-02-18,Bread,Pastry,8
2017-02-21,Bread,Coffee,8
2017-02-21,Coffee,Tea,8
2017-02-26,Coffee,Juice,8
2017-02-28,Cake,Coffee,8
2017-01-03,Cake,Coffee,8
2017-03-03,Bread,Pastry,8
2017-04-03,Bread,Scone,8
2017-06-03,Cake,Coffee,8
2017-09-03,Cake,Coffee,8
2017-12-03,Coffee,"Spanish Brunch",8
2017-03-16,Bread,Coffee,8
2017-03-18,Cake,Coffee,8
2017-03-23,Bread,Coffee,8
2017-03-25,Coffee,Sandwich,8
2017-03-26,Bread,Coffee,8
2017-03-31,Bread,Cookies,8
2017-08-04,Bread,Coffee,8
2016-10-31,Bread,Coffee,7
2016-01-11,Bread,Tea,7
2016-04-11,Coffee,"Hearty & Seasonal",7
2016-05-11,Bread,Medialuna,7
2016-05-11,Brownie,"Hot chocolate",7
2016-05-11,Cake,Coffee,7
2016-06-11,Coffee,Pastry,7
2016-07-11,Bread,Scandinavian,7
2016-07-11,Coffee,Medialuna,7
2016-08-11,Brownie,Coffee,7
2016-10-11,Bread,Cookies,7
2016-10-11,Bread,Coffee,7
2016-12-11,Bread,Medialuna,7
2016-11-13,Coffee,Medialuna,7
2016-11-13,Bread,Pastry,7
2016-11-14,Coffee,Tea,7
2016-11-15,Coffee,Medialuna,7
2016-11-16,Bread,Coffee,7
2016-11-16,Cake,Coffee,7
2016-11-17,Bread,Coffee,7
2016-11-17,Alfajores,Coffee,7
2016-11-22,Cake,Coffee,7
2016-11-26,Coffee,Medialuna,7
2016-11-26,Coffee,Tea,7
2016-11-26,Coffee,Sandwich,7
2016-11-27,Coffee,Muffin,7
2016-11-27,Coffee,Medialuna,7
2016-11-27,Alfajores,Coffee,7
2016-11-28,Coffee,Pastry,7
2016-11-29,Bread,Coffee,7
2016-01-12,Bread,Coffee,7
2016-03-12,Coffee,Medialuna,7
2016-03-12,Cake,Coffee,7
2016-04-12,Coffee,Medialuna,7
2016-05-12,Coffee,Muffin,7
2016-10-12,Bread,Tea,7
2016-11-12,Bread,Coffee,7
2016-12-13,Bread,Coffee,7
2016-12-15,Bread,Coffee,7
2016-12-21,Bread,Coffee,7
2016-12-21,Coffee,Pastry,7
2016-12-23,Cake,Coffee,7
2016-12-24,Coffee,Medialuna,7
2016-12-28,Coffee,Sandwich,7
2017-06-01,Coffee,Cookies,7
2017-01-26,Coffee,Muffin,7
2017-01-27,Coffee,Muffin,7
2017-11-02,Coffee,Pastry,7
2017-11-02,Coffee,Tea,7
2017-02-16,Cake,Coffee,7
2017-02-17,Coke,Sandwich,7
2017-02-18,Coffee,"Spanish Brunch",7
2017-02-26,Coffee,Cookies,7
2017-01-03,Coffee,Tea,7
2017-04-03,Coffee,Pastry,7
2017-04-03,Coffee,Tea,7
2017-04-03,Coffee,Cookies,7
2017-06-03,Coffee,Sandwich,7
2017-10-03,Coffee,Pastry,7
2017-03-19,Coffee,"Spanish Brunch",7
2017-03-21,Coffee,Sandwich,7
2017-03-24,Coffee,Tea,7
2017-03-25,Bread,Pastry,7
2017-03-26,Coffee,Medialuna,7
2017-03-26,Brownie,Coffee,7
2017-06-04,Coffee,Sandwich,7
2017-06-04,Bread,Coffee,7
2017-01-18,Cake,Coffee,7
2017-01-02,Cake,Coffee,7
2017-02-14,Cookies,"Hot chocolate",7
2017-02-17,Coffee,"Hot chocolate",7
2017-02-23,Coffee,Sandwich,7
2017-02-25,Coffee,Cookies,7
2017-02-27,Coffee,Pastry,7
2017-02-03,Bread,Coffee,7
2017-03-03,Coffee,Sandwich,7
2017-04-03,Brownie,Coffee,7
2017-05-03,Coffee,Pastry,7
2017-03-25,Coffee,Juice,7
2017-03-30,Bread,Coffee,7
2017-05-04,Coffee,Tea,7
2017-01-13,Coffee,Toast,7
2017-01-22,Coffee,Toast,7
2017-10-02,Coffee,Cookies,7
2017-02-14,Coffee,Cookies,7
2017-02-25,Bread,Coffee,7
2017-07-03,Bread,Pastry,7
2017-12-03,Bread,Coffee,7
2017-03-17,Coffee,Salad,7
2017-03-26,Juice,Sandwich,7
2017-04-04,Coffee,Tea,7
2017-04-02,Bread,Soup,7
2017-02-28,Bread,Tea,7
2017-11-03,Bread,Cake,7
2017-03-30,Cake,Tea,7
2017-02-24,Coffee,Sandwich,7
2017-03-29,Bread,Coffee,7
2017-09-02,Coffee,Pastry,7
2017-11-02,Bread,Tea,7
2017-02-14,Coffee,Medialuna,7
2017-02-16,Coffee,Pastry,7
2017-01-14,Bread,Cake,6
2017-01-14,Coffee,Tiffin,6
2017-01-14,Coffee,"Hot chocolate",6
2017-01-14,Bread,"Hot chocolate",6
2017-01-20,Coffee,Tea,6
2017-01-22,Bread,Cake,6
2017-01-23,Coffee,Soup,6
2017-01-24,Coffee,Pastry,6
2017-01-28,Coffee,Juice,6
2017-01-29,Coffee,Medialuna,6
2017-01-31,Coffee,Tea,6
2017-04-02,Postcard,Tshirt,6
2017-03-03,Bread,Coffee,6
2017-08-03,Cake,Coffee,6
2017-10-03,Coffee,Cookies,6
2017-03-15,Cake,Coffee,6
2017-03-23,Coffee,Pastry,6
2017-03-04,Cake,Coffee,6
2017-03-04,Coffee,Pastry,6
2017-01-20,Coffee,Toast,6
2017-01-26,Bread,Coffee,6
2017-04-02,Coffee,Scone,6
2017-08-02,Alfajores,Coffee,6
2017-02-22,Bread,Tea,6
2017-02-24,Coffee,Toast,6
2017-01-04,Coffee,Sandwich,6
2017-01-04,Bread,Sandwich,6
2017-05-04,Cake,Coffee,6
2017-06-04,Coffee,Toast,6
2017-01-26,Coffee,Cookies,6
2017-12-02,Brownie,Coffee,6
2017-02-19,Coffee,Tea,6
2017-02-19,Coffee,Toast,6
2017-04-03,Coffee,Sandwich,6
2017-03-18,Coffee,Sandwich,6
2017-03-24,Bread,Coffee,6
2017-01-14,Coffee,Toast,6
2017-02-13,Cookies,Sandwich,6
2017-02-19,Cake,Tea,6
